,Country,ISO3,region_remastered,region_bigger,Number_of_parks,GIS_AREA,Land_area,Number_of_posts,post_density_national_total,post_density_national_land,post_density_total_max,post_density_total_min,post_density_total_mean,post_density_total_median,post_density_total_var
86,Peru,PER,Latin America and the Caribbean,Latin America and the Caribbean,7,71569.574935988,71569.574,3629,0.05070590405554017,0.05070590471867278,0.9121230746307386,0.0006598465239741364,0.1475780516262641,0.0096357900535452,0.11448887205678841
87,Philippines,PHL,South-eastern Asia,Asia,13,3311.680009381277,3310.098,874,0.263914387115949,0.26404052085466956,25.320496999234052,0.0009325854520357238,2.6067017416962965,0.10741301282581364,48.16501580029865
88,Poland,POL,Europe,Europe,23,3271.318635092031,3128.217,14617,4.468228757419341,4.672629807970483,0.9823161613941364,0.869759195989619,0.9260376786918777,0.9260376786918777,0.006334535230536854
89,Portugal,PRT,Europe,Europe,1,696.378292319321,696.378,2409,3.4593266713939506,3.459328123519123,37.36816277900363,0.107419206638452,7.647662189444429,2.859009642486945,130.230665541562
90,Romania,ROU,Europe,Europe,13,3173.7120884429687,3173.711,4852,1.5288091247055757,1.5288096490197123,3.4593266713939506,3.4593266713939506,3.4593266713939506,3.4593266713939506,
91,Russian Federation,RUS,Europe,Europe,29,48270.25238016474,48247.28200000001,13411,0.2778315699362463,0.2779638446783385,6.442271134103059,0.019520881976086132,2.18298746345378,0.08717037428219523,13.607267153747017
92,Rwanda,RWA,Sub-Saharan Africa,Africa,3,2216.0803050138443,2216.0809999999997,1278,0.5766939027924876,0.5766937219352543,12.60016454018806,0.036838464855343235,2.590081820341005,0.7473473867789646,15.193432472683448
93,"Saint Helena, Ascension and Tristan da Cunha",SHN,Sub-Saharan Africa,Africa,1,10.2936090765985,10.294,265,25.74412900548664,25.743151350301144,15.16694113840112,0.00025922535812041567,1.535430550421512,0.08161767178630279,14.669291742320208
94,Saint Kitts and Nevis,KNA,Latin America and the Caribbean,Latin America and the Caribbean,5,55.567271304073586,55.568,768,13.821085361513848,13.820904117477685,6.49699786553331,0.07021283373507856,2.235483160347068,0.13923878177281507,13.621571832264564
95,Saint Lucia,LCA,Latin America and the Caribbean,Latin America and the Caribbean,2,145.1529020421145,116.478,4850,33.41304191488246,41.638764401861295,0.015093695119250877,0.015093695119250877,0.015093695119250877,0.015093695119250877,
96,Saint Vincent and the Grenadines,VCT,Latin America and the Caribbean,Latin America and the Caribbean,1,49.8917766827101,49.754,31,0.6213448800820716,0.6230654821722876,2.2026014775551803,0.009295676652151724,1.0526220624936395,0.9992955478836132,1.4154979756859136
97,Samoa,WSM,Oceania,Oceania,1,47.8382532910182,47.838,27,0.5644018780482803,0.5644048664241816,25.74412900548664,25.74412900548664,25.74412900548664,25.74412900548664,
98,Saudi Arabia,SAU,Western Asia,Asia,1,6492.77723087227,5637.462,98,0.015093695119250877,0.017383709193959977,0.34368641341760237,0.005594114123522517,0.17464026377056244,0.17464026377056244,0.057153201420978836
99,Senegal,SEN,Sub-Saharan Africa,Africa,4,9154.73734962155,8509.449,429,0.046860983949226526,0.05041454505456228,10.984187959374697,0.4260443407546107,4.371584651209853,1.7045216535002494,33.20351794316582
100,Serbia,SRB,Europe,Europe,4,1273.7590398050982,1273.759,1505,1.181542154338928,1.1815421912622404,1.617229551671373,0.6261806740854174,1.0104332215679963,0.8991613302575976,0.2054317760825871
101,Seychelles,SYC,Sub-Saharan Africa,Africa,4,54.87975847924035,52.788999999999994,415,7.561986632229517,7.861486294493171,0.6009428694311424,9.066894039808284e-05,0.22567628388734082,0.07599531329048193,0.1070591364277557
102,Sierra Leone,SLE,Sub-Saharan Africa,Africa,2,895.434259789746,895.2560000000001,66,0.07370725352355542,0.0737219298167228,10.348550982835055,10.348550982835055,10.348550982835055,10.348550982835055,
103,Slovenia,SVN,Europe,Europe,1,839.537826543119,839.538,8688,10.348550982835055,10.348548844721739,285.01612882427014,0.013559664176694141,16.544989237537433,0.9993836042067661,2873.105352951818
104,South Africa,ZAF,Sub-Saharan Africa,Africa,19,39886.43004595527,39438.761,63554,1.5933739852570428,1.611460360025002,1.8560224484656846,1.8560224484656846,1.8560224484656846,1.8560224484656846,
105,South Sudan,SSD,Sub-Saharan Africa,Africa,3,11215.635944822918,11215.636,44,0.0039230945277169225,0.003923094508416642,496.4460884667134,0.6496567544862957,143.72804243888132,38.90821226716284,56447.35890326874
106,Sri Lanka,LKA,Southern Asia,Asia,16,5128.726649302669,5117.378,4706,0.9175766855579747,0.9196115667046679,71.59375119772142,0.9328833706668419,15.610528744963252,6.055762041440057,526.5310853592807
107,Sweden,SWE,Europe,Europe,28,7362.376411044678,6909.745000000001,4419,0.6002138104988536,0.6395315601371685,0.12737999986322157,0.12737999986322157,0.12737999986322157,0.12737999986322157,
108,"Taiwan, Province of China",TWN,Eastern Asia,Asia,8,6925.60919643954,3131.386,127485,18.407766939194335,40.71200420516666,0.017533961767659405,0.0008308169877391723,0.00918238937769929,0.00918238937769929,0.00013949752276948827
109,Tajikistan,TJK,Central Asia,Asia,1,23357.7512107719,23357.751,1006,0.043069214622684336,0.043069215011325365,47.09408453659699,0.0015976133599679922,0.9738402684990913,0.08056462545016722,24.50451518336523
110,"Tanzania, United Republic of",TZA,Sub-Saharan Africa,Africa,15,45306.761856465935,45290.459,33671,0.7431782502283301,0.7434457663588704,0.043069214622684336,0.043069214622684336,0.043069214622684336,0.043069214622684336,
111,Thailand,THA,South-eastern Asia,Asia,96,54018.0687954343,54018.06799999999,27413,0.5074783421786636,0.5074783496514538,0.04708584962602269,0.03516368738566725,0.04112476850584497,0.04112476850584497,7.106897624267857e-05
112,Timor-Leste,TLS,South-eastern Asia,Asia,2,1290.8538677117099,743.0509999999999,54,0.0418327754602661,0.07267334274497983,0.13440319143505874,0.13440319143505874,0.13440319143505874,0.13440319143505874,
113,Togo,TGO,Sub-Saharan Africa,Africa,2,3370.85721454732,3370.858,39,0.011569757339970094,0.011569754644069848,2.6233639258187926,0.0003552879203077899,0.4545908053236977,0.011300953856127033,0.8502226671155123
114,Trinidad and Tobago,TTO,Latin America and the Caribbean,Latin America and the Caribbean,1,7.44029951463751,7.44,1,0.13440319143505874,0.13440860215053763,219.57617823570212,0.09743969635606203,76.7788790264482,52.170076338023684,6278.3432420334075
115,Tunisia,TUN,Northern Africa,Africa,8,5110.702275469666,5109.644,97,0.018979779054158624,0.018983710019719574,21.84186827820821,0.004295396635274776,2.5314335152434424,0.1669817401606888,31.61696798212651
116,Turks and Caicos Islands,TCA,Latin America and the Caribbean,Latin America and the Caribbean,10,75.2251340779328,27.864,1759,23.383142104840736,63.1280505311513,21.184357802861427,0.02774095074331372,3.056967712513185,0.639838554840386,41.911231945404545
117,Uganda,UGA,Sub-Saharan Africa,Africa,10,11328.952945706369,11328.953000000001,10022,0.8846360337120387,0.8846360294724498,1.805068698603986,0.009677563816462346,0.5767487127425485,0.40531940304321035,0.3966293570764171
118,Ukraine,UKR,Europe,Europe,6,4597.263484582419,4550.896,2631,0.5722969781530763,0.5781279115145677,3.4225993533303343,0.04753953088628766,1.3650258942432738,0.9949823463782365,2.4686930929138042
119,United Kingdom of Great Britain and Northern Ireland,GBR,Europe,Europe,15,23105.353320615977,23045.332000000002,127078,5.499937535541316,5.514262064004979,238.47719508332537,0.00028951632778068397,21.515910919950976,11.173570860241451,1338.9579715138989
120,United States of America,USA,Northern America,Northern America,56,122976.24459615884,119116.06200000002,943148,7.669351126286216,7.917891039749113,0.02666899936882083,0.002755826550981028,0.014712412959900929,0.014712412959900929,0.0002859199171079362
121,Uruguay,URY,Latin America and the Caribbean,Latin America and the Caribbean,4,474.34307906426693,229.744,879,1.8530891221897803,3.8259976321470854,0.6213448800820716,0.6213448800820716,0.6213448800820716,0.6213448800820716,
122,Uzbekistan,UZB,Central Asia,Asia,2,6699.8132068015475,6699.814,170,0.02537384174045608,0.02537383873641865,17.51042092144219,0.00010509367716648569,1.2953682401974822,0.06910374419270356,15.518396952324771
123,Venezuela (Bolivarian Republic of),VEN,Latin America and the Caribbean,Latin America and the Caribbean,30,114107.0144096237,111020.07300000002,18354,0.16084900735473134,0.1653214549768851,12197.663231686449,5.361752378896766,1095.3395335897103,65.37395395956608,7882184.264664963
124,Viet Nam,VNM,South-eastern Asia,Asia,30,10183.502094852705,10032.694,10057,0.9875777415593947,1.0024226792923217,153.29796244017672,153.29796244017672,153.29796244017672,153.29796244017672,
125,Virgin Islands (British),VGB,Latin America and the Caribbean,Latin America and the Caribbean,19,4.898584993744762,4.109999999999999,839,171.27394973678304,204.13625304136255,13.998894999079114,0.005990960623158742,2.0531798984952205,0.38486225602548974,12.31731933937793
126,Virgin Islands (U.S.),VIR,Latin America and the Caribbean,Latin America and the Caribbean,1,60.0660299290889,39.565,9208,153.29796244017672,232.73094907114876,0.5644018780482803,0.5644018780482803,0.5644018780482803,0.5644018780482803,
